uuid,dir_path,typosquatting_list,3rd_party_hits,domain_length,name_presence,form_presence,number_links,number_empty_links,number_links_domain,latitude,longitude,red_value_screenshot,green_value_screenshot,blue_value_screenshot,red_value_favicon,green_value_favicon,blue_value_favicon,hash_screenshot,hash_favicon,similarius_sim,malicious,company_site
cb050ac1-a497-4e4d-8932-d04bc9007bb8,../other/2024-08-27T12:38:11.048457,0,0,13,0,1,61,0,1,38,-97,111,0,127,1,0,120,91963024573581107673086809184505656125645930311898007216685185802639318570451,56416771810756809649332186677569747484274103580130293996574547288320556527855,1,2,0
1a3d1c2b-6ed0-4cc8-8afb-8980c15c1d42,../other/2024-08-27T12:27:06.565220,0,0,13,0,0,2,0,0,38,-97,3,0,15,0,0,0,10269026401722503438078383415779200132022361735866565154931631176858855743422,0,1,2,0
ded43997-977b-4ea9-8298-5b2b4f343079,../other/2024-08-27T12:29:05.281110,0,0,17,0,0,1,0,0,38,-97,2,0,17,0,0,0,90973961189709757907950005695600288049947367612524512061917746851978263138030,0,0,2,0
44994dab-ba04-4a9e-bd2e-df4f85967e95,../other/2024-08-27T12:32:00.148330,0,0,13,0,1,537,0,426,56,24,61,42,87,0,1,217,49022143050352156422843792840317593723302559974545938784551238668489087031081,84075452748755281743868937407861555296443343012414680658360454371848616823407,0,2,0
5dc0f651-038e-43ac-b169-aaf619df3345,../other/2024-08-27T12:38:02.194508,0,0,17,0,1,202,0,169,38,-97,49,1,69,0,0,150,83693833659726478594526210600772139181893322855836046389226901017781043613834,73879942325963288656288787196078353078477928885900988716015972550490938672931,1,2,0
f002e003-34fa-4a8a-add0-1f00e2e2e8c5,../other/2024-08-27T13:53:41.455303,0,0,17,0,1,133,22,12,38,-97,35,1,58,185,18,15,101584908001033241496250770298121150969422003134958678544322477592985647923943,110383602691037225096129997664756197292042093799679493414258319859576421282391,1,2,0
d341878c-8035-489b-82e7-adc1d9c15dc7,../other/2024-08-27T12:25:38.451044,0,0,14,0,1,322,1,8,52.5,5.75,100,0,23,0,0,0,92282295068228776786219080055998355652660299852928858886865963862855002096647,0,0,2,0
f2251786-f61c-4a51-888f-b1b0ca338bdb,../other/2024-08-27T12:31:24.192569,0,0,19,0,1,912,0,148,38,-97,33,98,42,0,238,0,109146759733495303809958632383240258976765691422204831346050539304643425981565,1514763582870879753269527327395695831086704624634127625333113661553400637914,0,2,0
56883099-76a9-4b0f-94f9-7bad671f0f92,../other/2024-08-27T12:35:40.179631,0,0,16,0,0,35,0,46,38,-97,47,15,102,82,0,0,53414950573789889986201185639979575726776143629673965644249481396006656542480,20742264733406888790495563247835737462847355933768637483591771162313250428522,1,2,0
ede6c733-a926-4e00-98ee-6a966a48d7f1,../other/2024-08-27T12:27:19.965073,0,0,16,0,1,155,7,37,38,-97,32,1,211,0,0,138,111736181994223188449177840669905139140400283183190663221441248922408831399906,85179974660066048215120390207881918851419163654981718801283454226308795852529,1,2,0
aca7c166-df5d-4139-924b-66c363ffb64b,../other/2024-08-27T12:29:49.715610,0,0,14,0,0,127,3,0,22.25,114.1667,50,12,41,0,0,0,32552740257617354863297488871213770341485206890893753930170090743040289287602,0,0,2,0
590f2cb8-2f22-4d7f-a216-ec99bf642bf9,../other/2024-08-27T12:38:03.123019,0,0,10,0,1,123,0,2,38,-97,231,3,6,165,0,0,42114826213365183043627972032511394942696413443409048049480962592491407233526,107038459104302162565374844475270498706743444074195258699923568982666564568612,0,2,0
37462c86-7a47-412f-b52b-e0a45fda8af1,../other/2024-08-27T12:36:42.660987,0,0,17,0,1,72,0,5,38,-97,198,20,16,149,0,0,103803090683829511567768043526820554770106547054933030416689625591037073682419,49197908242138683256334432139095486739986272523631143739904886018820124888456,1,2,0
c8bbacfe-a98e-4b4c-b868-06f61a446e71,../other/2024-08-27T12:26:16.456863,0,0,6,0,0,3,1,0,35,105,112,0,0,0,0,0,52630730262417516924611519473734013412520335461376728698504825136601902872645,0,2,2,0
88d3e682-25e5-4ed2-80d3-cf55a1f38221,../other/2024-08-27T12:33:30.028134,0,0,10,0,0,0,0,0,38,-97,0,0,0,0,0,0,88969944886813401795461243911967495677233059711123468039650376763323987827576,0,0,2,0
7037afd2-414f-487f-a48f-66249c32e950,../other/2024-08-27T12:31:58.851466,0,0,15,0,1,509,38,203,38,-97,58,32,128,192,0,0,2885017452367628023939488689718603565476547472024318695765983715782385378957,102819210644009159994476962989898697959931848790511286524976774287751620019274,1,2,0
e679938c-5d46-49e7-9677-15e925e2ad88,../other/2024-08-27T12:29:30.820790,0,0,10,0,1,878,47,770,-10,-55,48,24,155,0,0,0,63028501835578774391019275413708443425846458209170352674358740097641733196048,38215467854728882550476793692080842888075144126955954753733264003014228900607,2,2,0
2307de8b-db39-434e-bb32-3533e679ef63,../other/2024-08-27T12:37:37.900303,0,0,9,0,1,400,266,122,-1000,-1000,119,12,25,20,0,0,104839924760008271774505648785989831933833251459478670831654270168851581529475,39955507768485279692034088963146431644381327023197888380842519289969007030603,0,2,0
6a5c06d9-c2f7-452b-9385-03663597161b,../other/2024-08-27T12:27:06.643567,0,0,14,0,0,9,0,1,38,-97,5,1,103,0,0,0,65699690821339185652127825822863241549630847514206140520930621878364764004542,102987336249554097029535212322581322789799900648198034993379397001115665086549,1,2,0
f6948dad-b762-4ff9-9e4a-322d954ead80,../other/2024-08-27T12:28:45.272476,0,0,14,0,0,152,15,2,38,-97,33,14,108,207,0,0,108271409709960275030501387306055379618968038985543764301263594166779173914481,5197757972354083268497161026291812997972671824954544609837080435772066807967,0,2,0
b9391bbc-8ae4-4ff1-98d2-c48c2e2f7fd5,../other/2024-08-27T12:25:11.344448,0,0,16,0,1,55,0,66,38,-97,186,7,6,256,0,0,105420483385332873342232714815593450068178426888899685088257896415069786330138,287840713831757564033774410880186585553420506013523161203566473640537514813,0,2,0
99e0c345-4f0e-4721-b981-050d7718c327,../other/2024-08-27T12:35:37.427974,0,0,14,0,1,261,6,3,38,-97,1,4,158,126,0,87,15471792274536671336886341937975308704357409858319162503809915356769579034877,252912108609101320473308205780029664372253396984955358423747867349970526874,1,2,0
3a31e702-1e33-4cc7-9a4d-02985369d20c,../other/2024-08-27T12:34:05.867738,0,0,15,0,1,1246,1,1,37,127.5,199,7,8,0,0,0,10383484366236514150359803823310227778619618336722917955549640754951872201717,98185165960847556153462893494594494732651078146914523964205925516684033300772,0,2,0
e4c76cdc-6f03-4950-8d8f-0ae305957805,../other/2024-08-27T12:29:34.073733,0,0,16,0,1,537,6,554,38,-97,61,4,59,112,0,0,110273295790388460724470616193217474266221677242657217162367500233375232483095,39382469649672132868183165945587310294651340641224473693749865221769426246565,15,2,0
8c532e57-73cd-4587-886e-7049e0c10d5c,../other/2024-08-27T12:33:57.142428,0,0,15,0,0,1,0,0,35,105,218,7,18,180,0,0,18647546366927264316996166821698928103149260448220897359804042342899465906739,7619447603861537667001125750081332135903894428232656654579978023565846813054,0,2,0
4f1f4a41-57b4-4414-9b14-a924872e0b75,../other/2024-08-27T12:34:42.334724,0,0,6,0,0,0,0,0,46,2,0,0,0,0,0,0,77693688892666640292531531658934014384249844991289657170091417266891116125578,0,1,2,0
f732505c-8b37-4dac-8cf5-ea46f6148dfe,../other/2024-08-27T12:37:07.408439,0,0,25,0,0,155,0,1,38,-97,165,13,61,192,23,3,79608005220593898893407663546434625186236843040136606251420077652659304828136,34620416133759718939632246549067691618936837198756359910197482808338256624079,0,2,0
cd018fbd-312c-4602-9e85-16e7e9d42c2d,../other/2024-08-27T12:34:54.125215,0,0,18,0,0,292,0,9,37,127.5,93,40,80,0,0,219,102168674593354888683193161560527115131356736943479376235573489585657284894061,109624677129715193939655975430546569483062691014050240409804710259747676919239,0,2,0
2adb5840-c926-4b4c-8323-4eaf80111e0c,../other/2024-08-27T13:53:58.291201,0,0,18,0,1,52,4,65,38,-97,21,21,25,0,0,189,78698179888904356241129036273961841002412123443202467662790624700062326496480,97722288789653873515725136289594915536425072852491031345571717221517273164244,0,2,0
30cfdba6-f85f-43ac-a974-8af41dcfb721,../other/2024-08-27T12:38:04.168484,0,0,18,0,1,36,4,18,38,-97,26,8,221,154,53,9,17126667102159380332346907988544338993327973359061281649171157326312619333891,89945699297138853761437009340532155927959660052238198067785211873727994434236,1,2,0
45c95e39-faec-41ec-b7d0-0e4084747cda,../other/2024-08-27T12:35:13.818034,0,0,17,0,1,145,0,12,38,-97,40,2,144,209,0,0,113521649107674530903691676484416434052565244268006936534999386740535284184985,47775339696714055101174096535979630990853999846823794839469558995615568253251,19,2,0
66e42e39-e10d-417e-b118-757ad20df61f,../other/2024-08-27T12:35:04.742996,0,0,22,0,1,133,1,3,60,-95,52,33,146,10,7,96,8175595984869892378375377333716881102828849927273267841598001192631492977165,95207666985732374903493626157456975587537009360367103433152174893681136944569,1,2,0
94603dd9-6ef7-401f-97ba-72d7fefb7e3d,../other/2024-08-27T12:35:44.044923,0,0,17,0,1,161,4,9,-34,-64,87,3,0,61,94,1,89729497957518134901957872215849262249687193898594899853298500852449676113045,16093044308967788171775808685703420921437852005167687126452465339681786612188,2,2,0
0cf7eb4c-11d7-4ba6-a104-541981d4a7d0,../other/2024-08-27T12:36:52.834438,0,0,12,0,0,0,0,0,52,20,0,0,0,0,0,0,88969944886813401795461243911967495677233059711123468039650376763323987827576,0,0,2,0
5f424943-59fc-485c-ba1a-36ec2f8f2873,../other/2024-08-27T12:35:45.617267,0,0,12,0,0,0,0,0,54,-2,0,0,0,0,0,0,88969944886813401795461243911967495677233059711123468039650376763323987827576,0,0,2,0
94de868f-0f2e-4192-9b1d-6566bea05a87,../other/2024-08-27T12:26:14.001130,0,0,18,0,1,312,0,124,38,-97,29,13,59,244,0,0,66007375924273395134793857482097874906790353812255867147377788113046756495971,103153014242574754992151798032214186762221072349961740261994329905280379496383,0,2,0
845d3a10-f217-4fc9-a017-af5b06697b5b,../other/2024-08-27T12:34:56.301319,0,0,14,0,1,340,22,49,38,-97,64,6,50,52,0,157,9282083925229026111454737301586847267308060145911248200891885968679497947126,87515414934496051939611477250967906334260889379066421685057703159969486640508,2,2,0
998e02bd-e983-4ef4-a6cf-3c922e1f44e9,../other/2024-08-27T12:25:46.315762,0,0,22,0,1,350,1,46,54,-2,147,19,75,9,0,102,20093234140484259483649239515301735235275955861541053435889698189524899465379,99077092490808808934490834759563522980299237996564656396933120110113747027569,0,2,0
36a725d1-d371-4dc3-af1d-ab1e9e512162,../other/2024-08-27T12:25:23.850224,0,0,11,0,1,10,1,7,60,-95,40,6,52,0,0,191,53116358095873959997681105495761845513015345445016068216735820093636398916302,19923013889445999656098636734089920916474897301163324706680698297019609572345,13,2,0
aac16266-53a0-4d40-87b9-a4578e40a84a,../other/2024-08-27T12:27:27.088253,0,0,20,0,1,620,576,1,38,-97,45,12,71,61,1,128,67351759165925242137591006837382039398402382950403030474782366867022929598295,15233803376017572884441539429656203239807567260329376830722710593263174367680,0,2,0
e926c538-75a6-48cd-bcf9-02a98671083c,../other/2024-08-27T12:26:15.768436,0,0,11,0,0,128,0,9,38,-97,116,26,38,0,0,0,58684400443483275072700558804887660326083259753321976410795817337501095474069,0,0,2,0
83f668d1-9c35-404b-a75c-7b6cef92b1fd,../other/2024-08-27T12:37:54.467574,0,0,11,0,1,467,0,16,38,-97,13,0,3,171,0,0,37140077895067807668305395298462500575390474304904229012758792295244022549334,108266318987543337863451844413544008680629615304531522394413437975252770661879,0,2,0
2a8a5596-15e3-40fb-a7af-cc6c278c0d88,../other/2024-08-27T12:37:12.177879,0,0,20,0,1,602,26,32,38,-97,219,6,3,207,0,0,42174610028747603332127483980380965677907105516859186483388529247119446917433,44287707745061651080285454207914256087944166082864427489011614589712431177994,0,2,0
8e68a89e-a070-406f-94fb-f9aca8e11858,../other/2024-08-27T12:33:49.071542,0,0,21,0,0,1,0,0,38,-97,1,0,3,0,0,0,69555182163131001467292298838749438664657230394760576549843551394967241976948,0,1,2,0
28cca51c-0cb7-4c37-b7ca-db9e538f4671,../other/2024-08-27T12:29:04.151950,0,0,11,0,1,82,0,4,48.6667,19.5,42,7,179,36,0,220,38157250589165679639125749573447046926656281256580552374897104034620383634687,12545362375890467337993559580113858584470167857219418596533880629679035909203,0,2,0
9ed722cb-010f-47af-912e-2e58c22603b0,../other/2024-08-27T12:34:47.299185,0,0,17,0,1,911,51,657,38,-97,69,13,109,0,0,23,70033182716272270437684271807947831636727914775836048176668644264176340763647,20163407593416038266764521402467621552145777099159437664818913539165333731264,1,2,0
9e9ee336-8028-4553-9626-2f5b693fce9a,../other/2024-08-27T12:38:13.054840,0,0,15,0,1,10,0,3,38,-97,0,1,2,0,0,0,62494132255105241788237478307267754564250972456929310312728636975153759816706,0,1,2,0
77edb1b9-f6f3-49d3-8450-b6872eaf1d48,../other/2024-08-27T12:31:37.251435,0,0,18,0,1,143,0,151,38,-97,36,11,25,84,0,12,81126712927376184987602283167531165815831899113284790633565799883503663050435,61830184671733661968607511023405776332067650263751976807567907668612858795730,0,2,0
5844540d-8309-4a43-819d-6bad2f42a676,../other/2024-08-27T12:35:38.896725,0,0,14,0,1,347,0,301,36,138,147,0,29,236,0,0,70755720655760730116168981690892565348846693155987863889390640021133170526100,14438490279751541004588594922493293561596050549237152435801581157832710395143,0,2,0
